###################### TABLE (COMPLIANCE)####################
"hostname","policy_name","backup_time","last_job_id","schedule_name","status","size_gb","max_duration"
"FRS2HDBSG8PRD01","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:37:56 PM","35,678,229","Daily_Incr_2w","0","1224.970647","00:06:20"
"frs2hslspwv01","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:35:04 PM","35,696,073","Daily_Incr_2w","0","424.017148","00:08:52"
"FRS2HWSERPRD01","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:34:42 PM","35,696,074","Daily_Incr_2w","0","58.896461","00:02:52"
"frs2hctxszc01","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:34:32 PM","35,696,064","Daily_Incr_2w","0","55.992457","00:01:58"
"FRS2HCVPXPRD01","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:34:11 PM","35,696,083","Daily_Incr_2w","0","26.815373","00:02:51"
"frs2hctxccp01","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:33:54 PM","35,696,055","Daily_Incr_2w","0","45.891730","00:05:30"
"FRS2HINETFE5","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:33:41 PM","35,678,292","Daily_Incr_2w","0","2386.036567","00:16:17"
"frs2hprjmgt01","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:32:41 PM","35,696,077","Daily_Incr_2w","0","166.792287","00:01:11"
"frs2hgiruprd01","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:32:05 PM","35,696,062","Daily_Incr_2w","1","7.037097","00:04:31"
"DSCTXADMCONS","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:32:05 PM","35,696,058","Daily_Incr_2w","0","19.608940","00:00:41"
"frs2hsecprd01","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:32:00 PM","35,696,065","Daily_Incr_2w","0","97.561563","00:00:46"
"frs2hapimprd01","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:31:34 PM","35,696,084","Daily_Incr_2w","0","13.092405","00:00:44"
"frs2hgiruprd02","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:31:32 PM","35,696,076","Daily_Incr_2w","1","26.812187","00:06:00"
"frs2hidprprd01","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:31:24 PM","35,696,080","Daily_Incr_2w","0","13.033601","00:00:40"
"ouranos","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:31:22 PM","35,678,261","Daily_Incr_2w","0","3874.084175","00:13:20"
"frs2hctxnsp01","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:31:22 PM","35,696,089","Daily_Incr_2w","0","17.914614","00:00:40"
"FRS2HCTXNSC","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:31:20 PM","35,696,069","Daily_Incr_2w","0","3.473054","00:00:24"
"frs2hopprprd02","DST1_NTX_FS_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:31:11 PM","35,696,087","Daily_Incr_2w","0","4.030803","00:00:33"
"frs2htfsapp","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:25:42 PM","35,678,223","Daily_Incr_2w","0","107.304063","00:00:56"
"FRS2HIARDPRD01","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:23:08 PM","35,678,361","Daily_Incr_2w","0","7734.132604","00:07:14"
"FRS2HJALIOS1","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:19:09 PM","35,678,237","Daily_Incr_2w","0","185.399351","00:01:41"
"FRS2HINETBE4","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:16:52 PM","35,678,247","Daily_Incr_2w","0","685.814808","00:01:54"
"FRS2HKMS2","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:16:00 PM","35,678,227","Daily_Incr_2w","0","24.294052","00:01:16"
"frs2hslfeprd13","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:15:58 PM","35,678,226","Daily_Incr_2w","0","15.701473","00:00:30"
"frs2hslbeprd08","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:15:45 PM","35,678,235","Daily_Incr_2w","0","231.029233","00:03:51"
"frs2hsql10","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:15:31 PM","35,678,256","Daily_Incr_2w","0","219.144932","00:01:39"
"NGINX-2","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:14:49 PM","35,678,231","Daily_Incr_2w","0","21.755948","00:00:35"
"frs2hsn2aprd01","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:14:34 PM","35,678,234","Daily_Incr_2w","0","31.647234","00:00:32"
"FRS2HDBSG8PRD02","DST1_NTX_PRODUCTION_EQX_NAHV","Nov 27, 2025 11:14:02 PM","35,666,312","Daily_Incr_2w","0","911.473977","00:07:54"
"FRS2HINETWS1","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:13:40 PM","35,678,238","Daily_Incr_2w","0","61.231204","00:00:36"
"FRS2HSSERVE1","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:13:40 PM","35,678,239","Daily_Incr_2w","0","92.583104","00:01:16"
"frs2hslfeprd18","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:13:04 PM","35,678,240","Daily_Incr_2w","0","12.114695","00:00:30"
"frs2hsplkclu01","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:12:46 PM","35,678,241","Daily_Incr_2w","0","39.466823","00:00:26"
"FRS2HJCVRPRD01","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:11:56 PM","35,678,243","Daily_Incr_2w","0","24.135856","00:00:52"
"frs2hslbddprdv01","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:11:21 PM","35,678,245","Daily_Incr_2w","0","63.677944","00:00:47"
"FRS2HBPRMPRD1","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:11:12 PM","35,678,262","Daily_Incr_2w","0","43.038549","00:01:48"
"frs2hslbeprd11","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:11:09 PM","35,678,244","Daily_Incr_2w","0","36.017355","00:00:41"
"frs2hsarsav01","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:10:33 PM","35,678,250","Daily_Incr_2w","0","50.994528","00:01:15"
"FRS2HJALIOS2","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:10:23 PM","35,678,249","Daily_Incr_2w","0","33.871794","00:01:45"
"frs2hswbddv01","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:10:12 PM","35,678,325","Daily_Incr_2w","0","868.830054","00:07:46"
"frs2hadfs1","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:09:49 PM","35,678,254","Daily_Incr_2w","0","34.804156","00:01:15"
"frs2hslfeprd19","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:09:23 PM","35,678,252","Daily_Incr_2w","0","12.303081","00:00:29"
"FRS2HPICRIS1","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:08:42 PM","35,678,258","Daily_Incr_2w","0","51.081532","00:00:42"
"FRS2HINETFE13","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:08:01 PM","35,678,257","Daily_Incr_2w","0","26.211114","00:00:27"
"FRS2HINSREP1","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:07:25 PM","35,678,263","Daily_Incr_2w","0","38.003399","00:01:05"
"frs2hslbeprd05","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:07:18 PM","35,678,268","Daily_Incr_2w","0","242.204034","00:03:02"
"FRS2HAXDPRD01","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:07:02 PM","35,678,266","Daily_Incr_2w","0","105.977462","00:03:00"
"FRS2HSSISIS1","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:06:02 PM","35,678,264","Daily_Incr_2w","0","62.296888","00:01:12"
"frs2hctxccp02","DST1_NTX_FS_PRODUCTION_EQX_NAHV","Nov 27, 2025 11:05:58 PM","35,687,257","Daily_Incr_2w","0","60.411565","00:07:02"
"frs2hsqldb5b","DST1_NTX_PRODUCTION_DT4_NAHV","Nov 27, 2025 11:05:47 PM","35,678,280","Daily_Incr_2w","0","100.705667","00:01:27"
