###################### TABLE (COMPLIANCE)####################
"hostname","policy_name","backup_time","last_job_id","schedule_name","status","size_gb","max_duration"
"frs2hslferec02","DST2_NTX_HORS_PRODUCTION_EQX_NAHV","Nov 28, 2025 2:37:04 AM","35,755,221","Daily_Incr_2w","0","8.718238","00:01:20"
"DSCUYDBREC01","DST2_NTX_HORS_PRODUCTION_EQX_NAHV","Nov 28, 2025 2:35:38 AM","35,755,224","Daily_Incr_2w","0","81.978122","00:02:44"
"RKE2-R-WORKER-7","DST2_NTX_HORS_PRODUCTION_EQX_NAHV","Nov 28, 2025 2:34:12 AM","35,755,227","Daily_Incr_2w","0","101.011927","00:04:58"
"frs2helcspp02","DST2_NTX_HORS_PRODUCTION_DT4_NAHV","Nov 28, 2025 2:34:02 AM","35,743,595","Daily_Incr_2w","0","22.054586","00:03:56"
"FRS2HSLFEDEVV01","DST2_NTX_HORS_PRODUCTION_EQX_NAHV","Nov 28, 2025 2:34:02 AM","35,755,251","Daily_Incr_2w","0","87.856323","00:02:30"
"frs2hslbedev02","DST2_NTX_HORS_PRODUCTION_EQX_NAHV","Nov 28, 2025 2:33:47 AM","35,755,237","Daily_Incr_2w","0","33.388390","00:02:35"
"frs2hslfefor01","DST2_NTX_HORS_PRODUCTION_EQX_NAHV","Nov 28, 2025 2:33:37 AM","35,755,238","Daily_Incr_2w","0","15.550501","00:02:41"
"STORM-3-REC","DST2_NTX_HORS_PRODUCTION_DT4_NAHV","Nov 28, 2025 2:33:37 AM","35,743,599","Daily_Incr_2w","0","35.804658","00:02:11"
"frs2hslfedev05","DST2_NTX_HORS_PRODUCTION_EQX_NAHV","Nov 28, 2025 2:33:37 AM","35,755,240","Daily_Incr_2w","0","16.312158","00:01:03"
"ANALYFRONTDEV1","DST2_NTX_HORS_PRODUCTION_EQX_NAHV","Nov 28, 2025 2:33:36 AM","35,755,244","Daily_Incr_2w","0","50.706791","00:01:26"
"FRS2HELCSDEV01","DST2_NTX_HORS_PRODUCTION_EQX_NAHV","Nov 28, 2025 2:33:29 AM","35,755,247","Daily_Incr_2w","0","32.818561","00:01:01"
"FRS2HCORTOREC1","DST2_NTX_HORS_PRODUCTION_EQX_NAHV","Nov 28, 2025 2:33:26 AM","35,755,234","Daily_Incr_2w","0","22.442632","00:06:12"
"ANALYDBDEV2","DST2_NTX_HORS_PRODUCTION_EQX_NAHV","Nov 28, 2025 2:33:15 AM","35,755,250","Daily_Incr_2w","0","8.580749","00:02:03"
"frs2hslfedev02","DST2_NTX_HORS_PRODUCTION_EQX_NAHV","Nov 28, 2025 2:33:12 AM","35,755,239","Daily_Incr_2w","0","35.381147","00:04:58"
"frs2hslpxylab01","DST2_NTX_HORS_PRODUCTION_EQX_NAHV","Nov 28, 2025 2:33:06 AM","35,755,235","Daily_Incr_2w","0","10.043464","00:01:30"
"frs2hslfedev07","DST2_NTX_HORS_PRODUCTION_DT4_NAHV","Nov 28, 2025 2:32:38 AM","35,743,603","Daily_Incr_2w","0","30.211714","00:00:58"
